country_name,ladder_score,standard_error_of_ladder_score,upperwhisker,lowerwhisker,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by_log_gdp_per_capita,explained_by_social_support,explained_by_healthy_life_expectancy,explained_by_freedom_to_make_life_choices,explained_by_generosity,explained_by_perceptions_of_corruption,dystopia_+_residual,is_saarc,region
Hungary,6.041200160980225,0.055141061544418335,6.1492767333984375,5.933123588562012,10.418682098388672,0.9426373243331909,67.50045013427734,0.7578166723251343,-0.0591716542840004,0.8388599753379822,1.777825117111206,1.7544872760772705,1.5188888311386108,0.43513578176498413,0.5005857944488525,0.10468287020921707,0.06462839245796204,1.6627883911132812,0,Central and Eastern Europe
Argentina,6.02370023727417,0.06289000809192657,6.1469645500183105,5.900435924530029,9.95878791809082,0.8908900618553162,67.20008087158203,0.8226782083511353,-0.08947993069887161,0.8140133619308472,1.777825117111206,1.5895475149154663,1.3881741762161255,0.42695173621177673,0.5868987441062927,0.0884210467338562,0.08242520689964294,1.8612570762634277,0,Latin America and Caribbean
Honduras,6.022500038146973,0.08867204189300537,6.1962971687316895,5.848702907562256,8.635234832763672,0.7655693888664246,64.0630111694336,0.8426064848899841,0.09735216200351715,0.8429010510444641,1.777825117111206,1.114858865737915,1.0716112852096558,0.34147703647613525,0.6134178042411804,0.1886652708053589,0.061733901500701904,2.630737781524658,0,Latin America and Caribbean
Uzbekistan,6.0142998695373535,0.05890003591775894,6.129744052886963,5.898855686187744,8.948406219482422,0.874754011631012,65.3005142211914,0.9379149079322815,0.22953176498413086,0.6381723880767822,1.777825117111206,1.2271769046783447,1.3474141359329224,0.37519484758377075,0.7402471899986267,0.2595858573913574,0.20837432146072388,1.8563084602355957,0,Central and Eastern Europe
Malaysia,6.01230001449585,0.07875396311283112,6.1666579246521,5.8579421043396,10.169085502624512,0.7986076474189758,65.66233825683594,0.876727819442749,0.1595873385667801,0.7584688663482666,1.777825117111206,1.6649701595306396,1.155066728591919,0.3850533664226532,0.6588239669799805,0.22205737233161926,0.12220989912748337,1.8040881156921387,0,Southeastern Asia
Portugal,5.9679999351501465,0.054870858788490295,6.075546741485596,5.860453128814697,10.4286527633667,0.877972424030304,71.25039672851562,0.9024332165718079,-0.1960751861333847,0.8780763149261475,1.777825117111206,1.7580631971359253,1.3555439710617065,0.5373093485832214,0.693030834197998,0.031227661296725273,0.03653901442885399,1.5563263893127441,0,Western Europe
South Korea,5.951099872589111,0.04544735327363014,6.040176868438721,5.862022876739502,10.69267463684082,0.8116115927696228,73.65018463134766,0.7168270945549011,-0.046214234083890915,0.7011785507202148,1.777825117111206,1.85275399684906,1.1879149675369263,0.6026955842971802,0.44603991508483887,0.11163512617349625,0.1632450670003891,1.586768627166748,0,Eastern Asia
Greece,5.9309000968933105,0.047642264515161514,6.0242791175842285,5.837521076202393,10.288155555725098,0.8349514007568359,71.14976501464844,0.5679218173027039,-0.23956792056560516,0.7932218313217163,1.777825117111206,1.707674264907837,1.246871829032898,0.5345674753189087,0.24788780510425568,0.007891758345067501,0.09731749445199966,2.088672399520874,0,Western Europe
Mauritius,5.902299880981445,0.05659676343202591,6.0132293701171875,5.791370391845703,9.95720100402832,0.888333261013031,63.85012435913086,0.8129426836967468,-0.028224512934684753,0.7749056816101074,1.777825117111206,1.5889784097671509,1.3817156553268433,0.3356765806674957,0.5739434361457825,0.12128746509552002,0.11043675243854523,1.790236473083496,0,Sub-Saharan Africa
Thailand,5.8429999351501465,0.06417921185493469,5.9687910079956055,5.7172088623046875,9.751472473144531,0.8735074400901794,68.44964599609375,0.8503376245498657,0.288653165102005,0.9103906750679016,1.777825117111206,1.5151944160461426,1.344265341758728,0.46099820733070374,0.6237058639526367,0.2913073003292084,0.013393301516771317,1.5941057205200195,0,Southeastern Asia
Mongolia,5.840199947357178,0.04591257497668266,5.9301886558532715,5.750211238861084,9.372422218322754,0.9328268766403198,60.49993133544922,0.7011629343032837,0.1904609650373459,0.8487215042114258,1.777825117111206,1.379249095916748,1.4941073656082153,0.24439497292041779,0.42519521713256836,0.2386225461959839,0.05756490305066109,2.0010533332824707,0,Eastern Asia
Kyrgyzstan,5.825300216674805,0.04486774280667305,5.913240909576416,5.737359523773193,8.485833168029785,0.911150336265564,66.85247039794922,0.9342929720878601,0.18135109543800354,0.9037905335426331,1.777825117111206,1.0612764358520508,1.4393519163131714,0.4174804985523224,0.7354274392127991,0.23373466730117798,0.018120765686035156,1.9199013710021973,0,Central and Eastern Europe
Moldova,5.819200038909912,0.05221981182694435,5.921550750732422,5.716849327087402,9.498775482177734,0.8566350340843201,65.29906463623047,0.8397157788276672,-0.08008436858654022,0.900856614112854,1.777825117111206,1.424565315246582,1.301645278930664,0.37515535950660706,0.609571099281311,0.09346220642328262,0.020222235471010208,1.994591474533081,0,Central and Eastern Europe
China,5.81790018081665,0.044474463909864426,5.9050703048706055,5.730730056762695,9.738065719604492,0.8356984853744507,68.68879699707031,0.8818911910057068,-0.04078250378370285,0.7272279858589172,1.777825117111206,1.5103861093521118,1.2487590312957764,0.4675142765045166,0.6656950116157532,0.11454950273036957,0.1445867121219635,1.6664276123046875,0,Eastern Asia
Vietnam,5.763299942016602,0.051804810762405396,5.864837169647217,5.661762714385986,9.286938667297363,0.8211429715156555,65.5024185180664,0.9386405944824219,-0.003642743919044733,0.7588440775871277,1.777825117111206,1.3485907316207886,1.2119914293289185,0.3806960880756378,0.7412129044532776,0.13447675108909607,0.12194114923477173,1.8244390487670898,0,Southeastern Asia
Paraguay,5.737800121307373,0.05750346928834915,5.850506782531738,5.625093460083008,9.509722709655762,0.9060643315315247,65.89987182617188,0.8908432126045227,0.020743167027831078,0.8425903916358948,1.777825117111206,1.4284915924072266,1.4265047311782837,0.39152535796165466,0.6776077151298523,0.14756092429161072,0.06195641681551933,1.6041193008422852,0,Latin America and Caribbean
Montenegro,5.7221999168396,0.1118156835436821,5.94135856628418,5.5030412673950195,9.812590599060059,0.8896059989929199,67.0999984741211,0.8049980401992798,0.06348329037427902,0.8444382548332214,1.777825117111206,1.5371142625808716,1.3849304914474487,0.4242248237133026,0.5633713006973267,0.17049303650856018,0.0606328509747982,1.5813961029052734,0,Central and Eastern Europe
Jamaica,5.702700138092041,0.08850633352994919,5.8761725425720215,5.5292277336120605,9.16460132598877,0.8673140406608582,66.5999984741211,0.8223790526390076,-0.10625693202018738,0.8750672340393066,1.777825117111206,1.3047146797180176,1.3286206722259521,0.4106014668941498,0.5865006446838379,0.07941938936710358,0.03869432210922241,1.9541537761688232,0,Latin America and Caribbean
Bolivia,5.684299945831299,0.057363249361515045,5.796731948852539,5.571867942810059,8.984602928161621,0.8113415241241455,63.598941802978516,0.8683634400367737,-0.06271975487470627,0.8457956910133362,1.777825117111206,1.2401587963104248,1.1872327327728271,0.3288326859474182,0.6476932764053345,0.10277913510799408,0.05966056510806084,2.1179699897766113,0,Latin America and Caribbean
Russia,5.660699844360352,0.037181656807661057,5.733575820922852,5.587823867797852,10.209748268127441,0.8886616826057434,64.947265625,0.7193708419799805,-0.030358081683516502,0.8014196753501892,1.777825117111206,1.679553747177124,1.3825452327728271,0.3655700087547302,0.44942495226860046,0.12014270573854446,0.09144564718008041,1.5719919204711914,0,Central and Eastern Europe
